id;number_consecutive;name;begin;end;published
382;1;;2017-03-06;2017-03-11;
383;2;;2017-03-13;2017-03-18;
384;3;;2017-03-20;2017-03-25;
385;4;;2017-03-27;2017-04-01;
386;5;;2017-04-03;2017-04-08;
387;6;;2017-05-02;2017-05-06;
388;7;;2017-05-08;2017-05-13;
389;8;;2017-05-15;2017-05-20;
390;9;;2017-05-29;2017-06-03;
391;10;;2017-06-06;2017-06-17;
392;11;;2017-06-19;2017-06-24;
393;12;;2017-06-26;2017-07-01;
394;13;;2017-07-03;2017-07-08;
395;14;;2017-07-10;2017-07-15;
396;15;;2017-09-04;2017-09-09;
397;16;;2017-09-11;2017-09-16;
398;17;;2017-09-18;2017-09-23;
399;18;;2017-09-25;2017-09-30;
400;19;;2017-10-09;2017-10-14;
401;20;;2017-10-16;2017-10-21;
402;21;;2017-11-06;2017-11-11;
403;22;;2017-11-13;2017-11-18;
404;23;Relegation;;;
