id;matchweek_id;datetime;stadium_id;club_id_home;club_id_away;goals_home;goals_away;goals_home_11m;goals_away_11m;goals_home_rated;goals_away_rated;rated_note;cancelled;note;published;rescheduled_from_fixture_id;rescheduled_by_club;reschedule_reason;reschedule_count
2695;395;2017-07-14 20:15:00;22;14;74;4;2;;;;;;1;;1;;;;0
2696;395;2017-07-10 20:00:00;14;76;53;16;0;;;;;;0;;1;;;;0
2697;396;2017-09-04 19:30:00;6;75;69;;;;;0;2;;1;42803;1;;;;0
2699;396;2017-09-04 20:00:00;33;74;72;4;3;;;;;;0;;1;;;;0
2700;396;2017-09-08 20:15:00;22;14;70;;;;;;;;1;;1;;;;0
2701;396;2017-10-07 20:00:00;31;67;76;2;8;;;;;;0;1. Abs.: Dynamo;1;;;;0
2702;396;2017-09-08 20:00:00;32;73;46;5;3;;;;;;0;;1;;;;0
2703;397;;34;69;53;;;;;;;;0;1. Abs. MK wg. Platzproblemen;1;;;;0
2704;397;2017-09-11 19:30:00;19;70;74;3;3;;;;;;0;;1;;;;0
2705;397;2017-09-11 20:45:00;18;72;73;1;2;;;;;;0;;1;;;;0
2707;397;2017-09-14 21:00:00;4;46;75;;;;;2;0;;1;42803;1;;;;0
2708;397;2017-09-11 19:30:00;14;76;14;;;;;;;;1;;1;;;;0
2709;398;;34;69;67;;;;;;;;0;1. Abs. MK wg. Platzproblemen;1;;;;0
2710;398;2017-09-18 19:30:00;14;70;76;8;2;;;;;;0;;1;;;;0
2711;398;2017-09-18 19:30:00;6;75;72;;;;;;;;1;;1;;;;0
2712;398;2017-09-18 20:00:00;1;53;46;0;1;;;;;;0;;1;;;;0
2713;398;2017-09-18 20:00:00;33;74;73;3;5;;;;;;0;;1;;;;0
2715;399;2017-09-29 19:30:00;34;69;14;;;;;;;;1;;1;;;;0
2716;399;2017-09-25 20:00:00;33;74;76;2;4;;;;;;0;;1;;;;0
2717;399;2017-09-25 20:45:00;18;72;53;;;;;;;;0;;1;;;;0
2719;399;2017-10-05 21:00:00;4;46;67;2;1;;;;;;0;1. Abs.: FFD;1;;;;0
2720;399;2017-09-29 20:00:00;32;73;75;;;;;;;;1;;1;;;;0
2721;400;2017-10-09 19:30:00;19;70;69;3;2;;;;;;0;;1;;;;0
2722;400;2017-10-09 20:00:00;1;53;73;1;13;;;;;;0;;1;;;;0
2723;400;2017-10-09 20:00:00;33;74;75;;;;;;;;1;;1;;;;0
2724;400;2017-10-13 20:15:00;22;14;46;;;;;;;;1;;1;;;;0
2725;400;2017-10-28 17:00:00;31;67;72;;;;;2;0;;0;"1. Abs.: Fit In; 2. Abs.: Fit In";1;;;;0
2727;401;;34;69;76;;;;;;;;0;Doppelterminierung mit Pokal durch MK;1;;;;0
2728;401;2017-10-16 19:30:00;6;75;53;;;;;;;;1;;1;;;;0
2729;401;2017-10-16 20:45:00;18;72;14;;;;;;;;1;;1;;;;0
2731;401;2017-10-19 21:00:00;4;46;70;4;1;;;;;;0;;1;;;;0
2732;401;2017-10-20 20:00:00;32;73;67;;;;;2;0;;0;;1;;;;0
2733;402;2017-11-06 19:30:00;19;70;72;;;;;;;;0;;1;;;;0
2734;402;2017-11-06 20:00:00;1;53;74;;;;;;;;0;;1;;;;0
2736;402;2017-11-10 20:15:00;22;14;73;;;;;;;;1;;1;;;;0
2737;402;2017-11-11 17:00:00;31;67;75;;;;;;;;1;;1;;;;0
2738;402;2017-11-06 19:30:00;14;76;46;;;;;;;;0;;1;;;;0
2739;403;2017-11-13 19:30:00;6;75;14;;;;;;;;1;;1;;;;0
2740;403;2017-11-13 20:00:00;1;53;67;;;;;;;;0;;1;;;;0
2741;403;2017-11-13 20:00:00;33;74;69;;;;;;;;0;;1;;;;0
2742;403;2017-11-13 20:45:00;18;72;76;;;;;;;;0;;1;;;;0
2744;403;2017-11-17 20:00:00;32;73;70;;;;;;;;0;;1;;;;0
2745;404;2017-11-22 21:00:00;16;;;;;;;;;;0;;1;;;;0
