"MannschaftID";"Name";"Name_kurz";"WappenURL";"WappenURLklein";"SpielortID";"Heimspiel_Tag";"Heimspiel_Uhrzeit";"Kommentar";"Website";"Inaktiv";"Inaktiv_seit";"Facebook";"Trikotfarben";"Gruendungsdatum";"HLWSeit"
"53";"Lokomotive Rheinwiese";"LR";"img/wappen_lokomotive.png";"img/wappen_lokomotive_tab.png";"1";"Montags";"20:00 Uhr";;;"0";;;"Weiß/Rot/Rot";"1984";"2014"
"54";"CfR Links AH";"CFR";"img/wappen_cfr.png";"img/wappen_cfr_tabelle.png";"12";"Samstags";"16:30 Uhr";;"http://www.bootsmann.info";"0";;;"Rot/Rot und Weiß/Weiß";"März 2013";"2014 (AH-Liga)"
"55";"TFC Hennekamp '67";"TFC";"img/wappen_hennekamp.png";"img/wappen_hennekamp_tabelle.png";"12";"Mittwochs";"20:30 Uhr";;;"0";;;"Weiß/Blau, Grün/Weiß";;
"56";"FC Büderich Hobbyelf";"FCBHO";"img/wappen_buederich.png";"img/wappen_buederich_tabelle.png";"28";"Samstags";"17:00 Uhr";;;"0";;;"Blau/Schwarz";;
"57";"FC Büderich Blau-Weiß";"FCBBW";"img/wappen_buederich.png";"img/wappen_buederich_tabelle.png";"28";"Samstags";"17:00 Uhr";"Meldete sich im Okt. 2014 während der Saison vom Spielbetrieb ab.";;"0";"2014";;;;
"58";"FC Büderich AH";"FCBAH";"img/wappen_buederich.png";"img/wappen_buederich_tabelle.png";"28";"Donnerstags";"20:00 Uhr";;;"0";;;"Gelb";;
"59";"Papa Kowolls letzter Wille";"PKLW";"img/wappen_pklw.png";"img/wappen_pklw_tabelle.png";"6";;;;;"0";;;;;"2014 (AH-Liga)"
"60";"Cosmos Düssel '77 AH";"CD77AH";"img/wappen_cosmos.png";"img/wappen_cosmos_tabelle.png";"11";"Freitags";"20:00 Uhr";;"http://www.cosmos77.de";"0";;;"Orange/Schwarz  -  Blau-Schwarz/SchwarzRot/Rot  -  Schwarz/Schwarz";;
"61";"DJK Rheinland '05 AH";"DJKR";"img/wappen_rheinland.png";"img/wappen_rheinland_tabelle.png";"29";"Samstags";"15:00 Uhr";;;"0";;;;;
"62";"Schwarz-Weiß Bilk '79 AH";"SWBAH";"img/wappen_swb.png";"img/wappen_swb_tabelle.png";"4";"Freitags";"20:15 Uhr";"Altherren-Mannschaft von Schwarz-Weiß Bilk '79";"http://www.swbilk79.de/";"0";;"https://www.facebook.com/pages/Schwarz-Weiss-Bilk-79/175477382466028";"Schwarz/Weiß";"2010 (25.11.1979)";
"63";"Schlosspark United 04";"SU";"img/wappen_schlosspark.png";"img/wappen_schlosspark_tabelle.png";"20";"Mittwochs";"19:30 Uhr";"Schlosspark hat sich vor Beginn der Saison 2017 vom Spielbetrieb der HLW zurückgezogen.";;"1";"2017";;"Schwarz/Schwarz";"2014";"2015"
"64";"SG Cosmos/Hennekamp";"SGCH";"img/wappen_cosmoshennekamp.png";"img/wappen_cosmoshennekamp_tabelle.png";"11";"Freitags -> TV Grafenberg, 20:15 Uhr <br>Montags -> SC Unterbach, 19:30 Uhr";;;;"0";;;"Heim: Orange/Schwarz - Grün/Schwarz - Blau/Schwarz<br>Auswärts: Weiß/Blau - Grün/Weiß<br>Ersatz: Rot/Rot - Schwarz/Schwarz";;"2015"
"65";"Klümpkes Stockum";"KS";;;;;;"Gast im Pokal 2015";;"0";;;;;
"66";"Rather Faß (Cocomo Soccer)";"RF";;;;;;;;"1";;;;;
"67";"FF Düsseldorf 2015";"FFD";"img/wappen_ffd2015.png";"img/wappen_ffd2015_tabelle.png";"31";"Samstags";"17:00 Uhr";;"http://www.ffdüsseldorf.de/";"0";;"https://www.facebook.com/FF-D%C3%BCsseldorf-2015-419387204934832/?fref=ts";"Rot/Weiß";"01.08.2015";"2016"
"68";"FC Bootsmann";"FCB";"img/wappen_fcbootsmann.png";"img/wappen_fcbootsmann_tabelle.png";"12";"Samstags";"16:30 Uhr";"In der AH-Liga vertreten als CfR Links AH. Seit 2016 auch mit einer HLW-Mannschaft. ";"http://bootsmann.info/";"0";;;"Rot/Rot und Schwarz/Schwarz";"2013";"2016 (AH-Liga seit 2014)"
"69";"Monday Kickers";"MK";"img/wappen_mondaykickers.png";"img/wappen_mondaykickers_tabelle.png";"34";"Freitags";"19:30 Uhr";;;"0";;;;;"2016"
"70";"MonUnited";"MU";"img/wappen_monunited.png";"img/wappen_monunited_tabelle.png";"19";"Montags";"19:30 Uhr";;;"0";;;;;"2016"
"71";"A-Team reloaded AH";"ATAH";"img/wappen_ateam.png";"img/wappen_ateam_tabelle.png";"18";"Freitags";"20:30 Uhr";;;"0";;;"Gelb/Blau (Auswärts: Rot/Rot, Gelb/Grün)";;"2016"
"72";"Fit In Düsseldorf United";"FIDU";"img/wappen_fidd.png";"img/wappen_fidd_tabelle.png";"18";"Montags";"20:45 Uhr";;;"0";;;;;"2017"
"73";"Sparta Erkrath";"SE";"img/wappen_spartaerkrath.png";"img/wappen_spartaerkrath_tabelle.png";"32";"Samstags";"17:00 Uhr";;;"0";;"https://www.facebook.com/spartaerkrath/";"Bordeauxrot";"04.09.2016";"2017"
"74";"Superkickers 2016";"SK";"img/wappen_superkickers.png";"img/wappen_superkickers_tabelle.png";"33";"Montags";"20:00 Uhr";;;"0";;;;;"2017"
"75";"SC Ratingen 2016";"SCR";"img/wappen_scratingen.png";"img/wappen_scratingen_tabelle.png";"6";"Montags";"19:30 Uhr";;;"1";"2017";;;;"2017"
"76";"Dynamo Düsseldorf";"DD";"img/wappen_dynamoduesseldorf.png";"img/wappen_dynamoduesseldorf_tabelle.png";"14";"Montags";"20:00 Uhr";;;"0";;;"Schwarz/Grün";;"2017"
