id;name;name_short;name_code;logo_url;cover_url;founded;league_entry;league_exit;colours_club_primary;colours_club_secondary;colours_kit_home_primary;colours_kit_home_secondary;colours_kit_away_primary;colours_kit_away_secondary;website;facebook;note;is_real_club;published
33;VfB Hasseler Stuben;Stuben;VFBHS;;;;2006-01-01;2007-12-31;;;;;;;;;Hat sich 2007 nach der Hinrunde aufgrund von Spielermangel abgemeldet.;;1
34;Team Telekom;Telekom;TT;;;;2007-01-01;2007-12-31;;;;;;;;;Hat sich 2007 nach der Hinrunde aufgrund von Spielermangel abgemeldet.;;1
35;Southside Düsseldorf;Southside;SD;;;;2002-01-01;2005-12-31;;;;;;;;;;;1
36;Rot-Weiß Eller 1994;Eller;RWE;;;;1998-01-01;2005-12-31;;;;;;;http://www.bab5club.de/RWE/intro.htm;;;;1
37;SG Weseler Hof;Weseler;WH;;;;2001-01-01;2004-12-31;;;;;;;;;;;1
38;Rot-Weiß Heerdt;Heerdt;RWH;;;;1995-01-01;2003-12-31;;;;;;;http://www.rot-weiss-heerdt.de/;;;;1
39;Torpedo Jägerklause;Torpedo;TJ;;;;1995-01-01;2001-12-31;;;;;;;;;;;1
40;FC Ortmann Kicker;Ortmann;OK;;;;1995-01-01;1998-12-31;;;;;;;;;;;1
41;SG Bruderhaus;Bruderhaus;SGB;;;;1995-01-01;1998-12-31;;;;;;;;;;;1
42;Rückwärts Kaarst;Rückwärts;RK;;;;1997-01-01;1997-12-31;;;;;;;;;;;1
43;SG Mettmann '90;Mettmann;SGM;;;;1996-01-01;1996-12-31;;;;;;;;;;;1
44;Zenit Unterbach;Zenit;ZU;;;;2012-01-01;;;;;;;;;;;;1
45;JFC Düsseldorf;JFC;JFC;;;2005-05-17;2012-01-01;2013-12-31;;;;;;;http://jfcduesseldorf.web.fc2.com/index.html;;(J)apan (F)ootball (C)lub Düsseldorf;;1
46;Blau Blau Brause;Brause;BBB;;;;2013-01-01;;;;;;;;;;;;1
47;A-Team reloaded;A-Team;AT;;;;2013-01-01;;;;;;;;;;;;1
48;MonCity;MonCity;MC;;;;2013-01-01;2015-12-31;;;;;;;http://www.moncity.de;;Abmeldung aus dem laufenden Spielbetrieb der Saison 2015.;;1
49;Eleven FC 2012;Eleven;EFC;;;;2013-01-01;;;;;;;;http://www.fc-eleven.de/;http://www.facebook.com/pages/Eleven-FC-2012/452602661456107;;;1
50;Hochdahler SV;Hochdahl;HoSV;;;;2013-01-01;;;;;;;;http://www.hochdahlersv.de.to/;;;;1
51;Freilos;Freilos;Freilos;;;;;;;;;;;;;;;;1
52;JFE Bilk ev. 2013;JFE;JFE;;;2013-01-01;2014-01-01;2015-12-31;;;;;;;http://www.flora2.de/jfe-bilk-ev;https://de-de.facebook.com/pages/JFE-Bilk-ev/352816478168617;;;1
53;Lokomotive Rheinwiese;Lokomotive;LR;;;1984-01-01;2014-01-01;;;;;;;;;;;;1
54;CfR Links AH;Links;CFR;;;2013-03-01;2014-01-01;;;;;;;;http://www.bootsmann.info;;;;1
55;TFC Hennekamp '67;Hennekamp;TFC;;;;;;;;;;;;;;;;1
56;FC Büderich Hobbyelf;Hobbyelf;FCBHO;;;;;;;;;;;;;;;;1
57;FC Büderich Blau-Weiß;Blau-Weiß;FCBBW;;;;;2014-12-31;;;;;;;;;Meldete sich im Okt. 2014 wÃ¤hrend der Saison vom Spielbetrieb ab.;;1
58;FC Büderich AH;Büderich;FCBAH;;;;;;;;;;;;;;;;1
59;Papa Kowolls letzter Wille;Papa Kowoll;PKLW;;;;2014-01-01;;;;;;;;;;;;1
60;Cosmos Düssel '77 AH;Cosmos AH;CD77AH;;;;;;;;;;;;http://www.cosmos77.de;;;;1
61;DJK Rheinland '05 AH;Rheinland;DJKR;;;;;;;;;;;;;;;;1
62;Schwarz-Weiß Bilk '79 AH;SWB AH;SWBAH;;;2010-01-01;;;;;;;;;http://www.swbilk79.de/;https://www.facebook.com/pages/Schwarz-Weiss-Bilk-79/175477382466028;Altherren-Mannschaft von Schwarz-Weiß Bilk '79;;1
63;Schlosspark United 04;Schlosspark;SU;;;2014-01-01;2015-01-01;2017-12-31;;;;;;;;;Schlosspark hat sich vor Beginn der Saison 2017 vom Spielbetrieb der HLW zurückgezogen.;;1
64;SG Cosmos/Hennekamp;Cosmos;SGCH;;;;2015-01-01;;;;;;;;;;;;1
65;Klümpkes Stockum;Klümpkes;KS;;;;;;;;;;;;;;Gast im Pokal 2015;;1
66;Rather Faß (Cocomo Soccer);Cocomo;RF;;;;;;;;;;;;;;;;1
67;FF Düsseldorf 2015;FFD2015;FFD;;;2015-08-01;2016-01-01;;;;;;;;http://www.ffdüsseldorf.de/;https://www.facebook.com/FF-D%C3%BCsseldorf-2015-419387204934832/?fref=ts;;;1
68;FC Bootsmann;Bootsmann;FCB;;;2013-01-01;2016-01-01;;;;;;;;http://bootsmann.info/;;In der AH-Liga vertreten als CfR Links AH. Seit 2016 auch mit einer HLW-Mannschaft. ;;1
69;Monday Kickers;Monday;MK;;;;2016-01-01;;;;;;;;;;;;1
70;MonUnited;MonUnited;MU;;;;2016-01-01;;;;;;;;;;;;1
71;A-Team reloaded AH;A-Team AH;ATAH;;;;2016-01-01;;;;;;;;;;;;1
72;Fit In Düsseldorf United;Fit In;FIDU;;;;2017-01-01;;;;;;;;;;;;1
73;Sparta Erkrath;Erkrath;SE;;;2016-09-04;2017-01-01;;;;;;;;;https://www.facebook.com/spartaerkrath/;;;1
74;Superkickers 2016;Superkickers;SK;;;;2017-01-01;;;;;;;;;;;;1
75;SC Ratingen 2016;Ratingen;SCR;;;;2017-01-01;2017-12-31;;;;;;;;;;;1
76;Dynamo Düsseldorf;Dynamo;DD;;;;2017-01-01;;;;;;;;;;;;1
