id;matchweek_id;datetime;stadium_id;club_id_home;club_id_away;goals_home;goals_away;goals_home_11m;goals_away_11m;goals_home_rated;goals_away_rated;rated_note;cancelled;note;published;rescheduled_from_fixture_id;rescheduled_by_club;reschedule_reason;reschedule_count
2296;303;2016-05-09 20:15:00;22;1;63;1;8;;;;;;0;;1;;;;0
2297;303;2016-02-12 20:15:00;5;44;12;3;1;;;;;;0;;1;;;;0
2298;303;2016-02-12 20:15:00;4;4;8;1;1;;;;;;0;;1;;;;0
2299;303;2016-02-17 21:00:00;16;50;9;2;0;;;;;;0;Flutlicht auf Sparta defekt;1;;;;0
2300;304;2016-05-18 19:30:00;20;63;44;3;1;;;;;;0;;1;;;;0
2302;304;2016-03-04 20:15:00;22;1;2;;;;;0;2;;0;Wertung (4.3);1;;;;0
2303;304;2016-02-19 20:30:00;18;47;4;2;2;;;;;;0;;1;;;;0
2304;304;2016-02-20 15:30:00;21;50;8;1;0;;;;;;0;;1;;;;0
2305;305;2016-03-21 19:30:00;20;8;47;1;2;;;;;;0;;1;;;;0
2307;305;2016-05-20 20:15:00;22;1;9;4;0;;;;;;0;;1;;;;0
2308;305;2016-02-26 20:15:00;5;44;2;3;3;;;;;;0;;1;;;;0
2309;305;2016-02-26 20:15:00;4;4;12;1;0;;;;;;0;"Abbruch 83. Min. wg. Flutlichtausfall.
(Satzung 4.13) ";1;;;;0
2311;306;2016-05-04 19:30:00;20;63;4;4;5;;;;;;0;1. Abs.: Schlosspark;1;;;;0
2312;306;2016-03-02 21:00:00;16;12;8;0;0;;;;;;0;;1;;;;0
2313;306;2016-03-04 20:00:00;4;9;44;3;6;;;;;;0;;1;;;;0
2314;306;2016-03-04 20:30:00;18;47;50;2;2;;;;;;0;;1;;;;0
2316;307;2016-03-09 19:30:00;20;63;8;1;9;;;;;;0;;1;;;;0
2317;307;2016-03-11 20:15:00;4;4;2;1;3;;;;;;0;;1;;;;0
2318;307;2016-05-27 20:30:00;18;47;12;1;4;;;;;;0;Abbruch nach 72 Min. -> Satzung 4.13;1;;;;0
2319;307;2016-03-12 15:30:00;32;50;1;1;2;;;;;;0;Abw. Spielort!;1;;;;0
2320;308;2016-03-14 19:30:00;20;8;2;2;1;;;;;;0;;1;;;;0
2321;308;2016-07-20 19:30:00;20;63;47;2;4;;;;;;0;"1. Abs.: Schlosspark
2. Abs.: Platzsperre";1;;;;0
2322;308;2016-03-16 21:00:00;16;12;50;2;4;;;;;;0;;1;;;;0
2323;308;2016-03-18 20:15:00;5;44;1;;;;;2;0;;0;Wertung nach Spielabbruch;1;;;;0
2324;308;2016-03-18 20:00:00;4;9;4;7;0;;;;;;0;;1;;;;0
2326;309;2016-04-04 19:30:00;20;8;9;3;1;;;;;;0;;1;;;;0
2327;309;2016-04-06 21:00:00;16;12;63;1;2;;;;;;0;Heimrecht getauscht;1;;;;0
2328;309;2016-04-08 20:30:00;18;47;2;3;1;;;;;;0;;1;;;;0
2329;309;2016-04-09 15:30:00;21;50;44;1;1;;;;;;0;;1;;;;0
2330;310;2016-04-13 21:00:00;16;12;2;0;0;;;;;;0;;1;;;;0
2331;310;2016-04-08 20:15:00;22;1;4;1;0;;;;;;0;;1;;;;0
2332;310;2016-04-13 21:00:00;4;9;47;3;5;;;;;;0;;1;;;;0
2334;310;2016-05-28 15:30:00;21;50;63;;;;;2;0;;0;Satzung 4.3;1;;;;0
2335;311;2016-04-18 19:30:00;20;8;1;2;0;;;;;;0;;1;;;;0
2336;311;2016-04-20 19:30:00;20;63;2;1;2;;;;;;0;;1;;;;0
2337;311;2016-04-22 20:00:00;4;9;12;0;1;;;;;;0;;1;;;;0
2338;311;2016-07-15 20:15:00;5;44;4;0;1;;;;;;0;1.Abs.: SWB;1;;;;0
2340;312;2016-04-27 19:15:00;26;2;50;2;0;;;;;;0;;1;;;;0
2341;312;2016-04-27 19:30:00;20;63;9;3;0;;;;;;0;;1;;;;0
2342;312;2016-06-17 20:15:00;22;1;47;2;3;;;;;;0;1. Abs.: Dritte;1;;;;0
2344;312;2016-06-17 20:15:00;5;44;8;3;0;;;;;;0;1.Abs.: Lot jonn;1;;;;0
2346;313;2016-05-11 19:15:00;26;2;9;1;0;;;;;;0;;1;;;;0
2347;313;2016-05-13 20:15:00;22;1;12;0;3;;;;;;0;;1;;;;0
2348;313;2016-05-13 20:15:00;4;4;50;4;4;;;;;;0;;1;;;;0
2349;313;2016-05-13 20:30:00;18;47;44;2;1;;;;;;0;;1;;;;0
2350;314;2016-05-30 19:30:00;20;8;4;1;0;;;;;;0;;1;;;;0
2351;314;2016-08-24 19:30:00;20;63;1;;;;;0;2;;0;;1;;;;0
2352;314;2016-06-01 21:00:00;16;12;44;3;2;;;;;;0;;1;;;;0
2353;314;2016-06-29 21:00:00;4;9;50;6;2;;;;;;0;Platzsperre wg. Unwetters;1;;;;0
2356;315;2016-06-06 19:30:00;20;8;50;3;0;;;;;;0;;1;;;;0
